City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-07-18 23:15:37,-42.8794,147.3294,44.26,83,75,8.05
1,Beira,MZ,2022-07-18 23:15:37,-19.8436,34.8389,68.09,94,75,4.61
2,Bengkulu,ID,2022-07-18 23:15:38,-3.8004,102.2655,74.91,88,3,4.09
3,Arraial Do Cabo,BR,2022-07-18 23:11:06,-22.9661,-42.0278,71.1,85,94,10.89
4,Upernavik,GL,2022-07-18 23:10:56,72.7868,-56.1549,43.95,75,100,1.34
5,Mataura,NZ,2022-07-18 23:15:38,-46.1927,168.8643,45.48,95,100,1.61
6,Tambun,ID,2022-07-18 23:15:39,-6.2641,107.0712,78.69,89,53,2.93
7,Norman Wells,CA,2022-07-18 23:15:39,65.282,-126.8329,78.84,34,75,5.75
8,Vaini,TO,2022-07-18 23:11:08,-21.2,-175.2,78.96,83,40,12.66
9,Katsuura,JP,2022-07-18 23:15:40,35.1333,140.3,79.5,89,100,21.94
10,Krasnoselkup,RU,2022-07-18 23:15:40,65.7,82.4667,51.51,81,53,9.82
11,Labuan,MY,2022-07-18 23:15:41,5.2767,115.2417,79.16,94,20,0.0
12,Qaanaaq,GL,2022-07-18 23:15:41,77.484,-69.3632,45.12,59,0,5.3
13,Busselton,AU,2022-07-18 23:15:41,-33.65,115.3333,50.23,86,0,8.25
14,Saint Anthony,US,2022-07-18 23:15:42,45.0205,-93.218,95.92,48,0,11.5
15,Ponta Do Sol,PT,2022-07-18 23:11:30,32.6667,-17.1,71.71,81,10,3.94
16,Pisco,PE,2022-07-18 23:13:32,-13.7,-76.2167,62.65,77,0,6.91
17,Ngunguru,NZ,2022-07-18 23:13:25,-35.6167,174.5,61.29,80,91,17.49
18,Kristinehamn,SE,2022-07-18 23:15:43,59.3098,14.1081,59.56,92,67,5.46
19,Erenhot,CN,2022-07-18 23:15:43,43.6475,111.9767,74.52,26,100,7.2
20,Dingle,PH,2022-07-18 23:13:04,10.9995,122.6711,74.89,97,100,9.71
21,Kruisfontein,ZA,2022-07-18 23:15:44,-34.0033,24.7314,57.88,93,54,2.77
22,Touros,BR,2022-07-18 23:15:44,-5.1989,-35.4608,75.97,85,83,14.05
23,Esperance,AU,2022-07-18 23:13:16,-33.8667,121.9,51.64,89,33,5.44
24,Bluff,NZ,2022-07-18 23:15:44,-46.6,168.3333,45.81,74,100,15.3
25,Ushuaia,AR,2022-07-18 23:15:15,-54.8,-68.3,37.06,93,75,21.85
26,Talnakh,RU,2022-07-18 23:11:17,69.4865,88.3972,61.21,56,92,2.01
27,Kawalu,ID,2022-07-18 23:15:45,-7.3817,108.2082,71.38,97,98,0.76
28,Treinta Y Tres,UY,2022-07-18 23:15:46,-33.2333,-54.3833,46.92,82,1,2.21
29,Kangaatsiaq,GL,2022-07-18 23:15:46,68.3065,-53.4641,43.2,87,97,2.1
30,Vila Franca Do Campo,PT,2022-07-18 23:15:46,37.7167,-25.4333,72.01,92,35,1.9
